OD.plate,OD.row,OD.col,OD600.raw,OD750.raw,Blankstart.600,Blankstart.750,Blankend.600,Blankend.750,note
1.1.2,A,1,0.058,0.049,0.04,0.04,0.041,0.04,
1.1.2,B,1,0.054,0.046,0.04,0.04,0.038,0.039,
1.1.2,C,1,0.05,0.045,0.039,0.039,0.039,0.039,
1.1.2,D,1,0.052,0.047,0.039,0.039,0.039,0.038,
1.1.2,E,1,0.045,0.043,0.041,0.042,0.04,0.04,
1.1.2,F,1,0.046,0.044,0.041,0.041,0.04,0.04,
1.1.2,G,1,0.044,0.041,0.04,0.04,0.039,0.039,
1.1.2,H,1,0.045,0.042,0.042,0.042,0.041,0.04,
1.1.2,A,2,0.047,0.048,0.04,0.041,0.04,0.041,
1.1.2,B,2,0.042,0.042,0.039,0.04,0.038,0.039,
1.1.2,C,2,0.118,0.116,0.04,0.039,0.039,0.038,
1.1.2,D,2,0.098,0.076,0.039,0.04,0.038,0.039,
1.1.2,E,2,0.046,0.044,0.04,0.042,0.039,0.041,
1.1.2,F,2,0.044,0.043,0.04,0.042,0.039,0.041,
1.1.2,G,2,0.044,0.047,0.04,0.039,0.039,0.039,
1.1.2,H,2,0.043,0.041,0.04,0.04,0.039,0.038,
1.1.2,A,3,0.051,0.049,0.042,0.042,0.041,0.041,
1.1.2,B,3,0.057,0.052,0.039,0.042,0.039,0.041,
1.1.2,C,3,0.05,0.044,0.04,0.039,0.04,0.038,
1.1.2,D,3,0.049,0.042,0.042,0.04,0.041,0.039,
1.1.2,E,3,0.058,0.045,0.041,0.04,0.041,0.039,
1.1.2,F,3,0.06,0.045,0.047,0.045,0.041,0.039,
1.1.2,G,3,0.05,0.043,0.041,0.041,0.04,0.04,
1.1.2,H,3,0.047,0.042,0.04,0.04,0.045,0.044,
1.1.2,A,4,0.051,0.048,0.041,0.041,0.041,0.041,
1.1.2,B,4,0.057,0.06,0.04,0.042,0.039,0.042,
1.1.2,C,4,0.042,0.039,0.04,0.039,0.04,0.039,
1.1.2,D,4,0.044,0.042,0.042,0.042,0.041,0.041,
1.1.2,E,4,0.048,0.046,0.04,0.043,0.039,0.043,
1.1.2,F,4,0.116,0.101,0.04,0.042,0.039,0.041,
1.1.2,G,4,0.042,0.042,0.039,0.041,0.039,0.04,
1.1.2,H,4,0.041,0.039,0.04,0.039,0.04,0.039,
1.1.2,A,5,0.063,0.05,0.041,0.041,0.04,0.04,
1.1.2,B,5,0.065,0.052,0.039,0.041,0.039,0.04,
1.1.2,C,5,0.048,0.043,0.041,0.039,0.042,0.04,
1.1.2,D,5,0.051,0.047,0.04,0.041,0.039,0.04,
1.1.2,E,5,0.057,0.051,0.04,0.043,0.039,0.042,
1.1.2,F,5,0.056,0.047,0.041,0.041,0.041,0.04,
1.1.2,G,5,0.05,0.047,0.039,0.043,0.039,0.042,
1.1.2,H,5,0.054,0.046,0.042,0.041,0.042,0.041,
1.1.2,A,6,0.041,0.041,0.039,0.039,0.039,0.039,
1.1.2,B,6,0.186,0.156,0.039,0.039,0.038,0.038,
1.1.2,C,6,0.148,0.131,0.041,0.04,0.041,0.039,
1.1.2,D,6,0.353,0.419,0.04,0.04,0.039,0.039,
1.1.2,E,6,0.068,0.051,0.04,0.04,0.04,0.039,
1.1.2,F,6,0.075,0.072,0.04,0.04,0.039,0.039,
1.1.2,G,6,0.051,0.055,0.041,0.042,0.04,0.041,
1.1.2,H,6,0.055,0.051,0.042,0.041,0.042,0.041,
1.1.2,A,7,0.054,0.045,0.04,0.041,0.04,0.04,
1.1.2,B,7,0.052,0.043,0.039,0.039,0.039,0.039,
1.1.2,C,7,0.044,0.041,0.04,0.039,0.039,0.039,
1.1.2,D,7,0.044,0.041,0.04,0.04,0.039,0.039,
1.1.2,E,7,0.05,0.043,0.04,0.04,0.04,0.039,
1.1.2,F,7,0.047,0.041,0.04,0.04,0.039,0.039,
1.1.2,G,7,0.052,0.046,0.046,0.046,0.045,0.044,
1.1.2,H,7,0.055,0.053,0.047,0.049,0.047,0.049,
1.1.2,A,8,0.049,0.046,0.04,0.04,0.04,0.04,
1.1.2,B,8,0.046,0.042,0.04,0.039,0.039,0.038,
1.1.2,C,8,0.045,0.042,0.039,0.039,0.039,0.039,
1.1.2,D,8,0.044,0.041,0.039,0.039,0.038,0.039,
1.1.2,E,8,0.046,0.044,0.042,0.043,0.04,0.041,
1.1.2,F,8,0.047,0.044,0.041,0.042,0.04,0.04,
1.1.2,G,8,0.045,0.043,0.041,0.042,0.041,0.041,
1.1.2,H,8,0.05,0.046,0.043,0.042,0.042,0.041,
1.1.2,A,9,0.057,0.045,0.041,0.041,0.041,0.041,
1.1.2,B,9,0.054,0.043,0.04,0.039,0.039,0.039,
1.1.2,C,9,0.048,0.042,0.04,0.04,0.04,0.039,
1.1.2,D,9,0.048,0.043,0.041,0.041,0.04,0.04,
1.1.2,E,9,0.046,0.045,0.04,0.044,0.04,0.043,
1.1.2,F,9,0.048,0.042,0.04,0.039,0.04,0.039,
1.1.2,G,9,0.048,0.045,0.04,0.042,0.039,0.042,
1.1.2,H,9,0.049,0.042,0.042,0.041,0.041,0.04,
1.1.2,A,10,0.06,0.058,0.04,0.041,0.041,0.04,
1.1.2,B,10,0.072,0.058,0.039,0.04,0.039,0.039,
1.1.2,C,10,0.046,0.042,0.04,0.039,0.039,0.039,
1.1.2,D,10,0.048,0.043,0.043,0.04,0.041,0.039,
1.1.2,E,10,0.049,0.047,0.042,0.043,0.041,0.042,
1.1.2,F,10,0.047,0.041,0.038,0.037,0.04,0.038,
1.1.2,G,10,0.051,0.047,0.042,0.041,0.041,0.04,
1.1.2,H,10,0.049,0.045,0.042,0.04,0.041,0.04,
1.1.2,A,11,0.062,0.05,0.041,0.042,0.041,0.042,
1.1.2,B,11,0.061,0.048,0.044,0.044,0.039,0.04,
1.1.2,C,11,0.047,0.042,0.041,0.04,0.04,0.04,
1.1.2,D,11,0.048,0.042,0.04,0.039,0.039,0.038,
1.1.2,E,11,0.06,0.047,0.041,0.041,0.04,0.041,
1.1.2,F,11,0.061,0.05,0.043,0.045,0.042,0.044,
1.1.2,G,11,0.05,0.044,0.039,0.04,0.039,0.039,
1.1.2,H,11,0.052,0.047,0.041,0.041,0.04,0.04,
1.1.2,A,12,0.056,0.076,0.042,0.041,0.041,0.041,
1.1.2,B,12,0.06,0.077,0.039,0.039,0.039,0.038,
1.1.2,C,12,0.072,0.079,0.039,0.039,0.039,0.039,
1.1.2,D,12,0.057,0.062,0.04,0.039,0.039,0.039,
1.1.2,E,12,0.087,0.085,0.041,0.041,0.04,0.04,
1.1.2,F,12,0.107,0.103,0.041,0.041,0.041,0.04,
1.1.2,G,12,0.107,0.095,0.04,0.039,0.04,0.039,
1.1.2,H,12,0.134,0.127,0.041,0.041,0.041,0.04,
10.1.2,A,1,0.051,0.046,0.04,0.04,0.041,0.04,
10.1.2,B,1,0.05,0.046,0.04,0.04,0.038,0.039,
10.1.2,C,1,0.052,0.046,0.039,0.039,0.039,0.039,
10.1.2,D,1,0.052,0.046,0.039,0.039,0.039,0.038,
10.1.2,E,1,0.044,0.043,0.041,0.042,0.04,0.04,
10.1.2,F,1,0.051,0.049,0.041,0.041,0.04,0.04,
10.1.2,G,1,0.053,0.044,0.04,0.04,0.039,0.039,
10.1.2,H,1,0.052,0.044,0.042,0.042,0.041,0.04,
10.1.2,A,2,0.06,0.075,0.04,0.041,0.04,0.041,
10.1.2,B,2,0.121,0.107,0.039,0.04,0.038,0.039,
10.1.2,C,2,0.156,0.127,0.04,0.039,0.039,0.038,
10.1.2,D,2,0.17,0.143,0.039,0.04,0.038,0.039,
10.1.2,E,2,0.044,0.046,0.04,0.042,0.039,0.041,
10.1.2,F,2,0.062,0.055,0.04,0.042,0.039,0.041,
10.1.2,G,2,0.051,0.044,0.04,0.039,0.039,0.039,
10.1.2,H,2,0.042,0.04,0.04,0.04,0.039,0.038,
10.1.2,A,3,0.105,0.093,0.042,0.042,0.041,0.041,
10.1.2,B,3,0.041,0.05,0.039,0.042,0.039,0.041,
10.1.2,C,3,0.054,0.047,0.04,0.039,0.04,0.038,
10.1.2,D,3,0.048,0.044,0.042,0.04,0.041,0.039,
10.1.2,E,3,0.065,0.054,0.041,0.04,0.041,0.039,
10.1.2,F,3,0.057,0.048,0.047,0.045,0.041,0.039,
10.1.2,G,3,0.071,0.06,0.041,0.041,0.04,0.04,
10.1.2,H,3,0.052,0.045,0.04,0.04,0.045,0.044,
10.1.2,A,4,0.308,0.246,0.041,0.041,0.041,0.041,
10.1.2,B,4,0.16,0.135,0.04,0.042,0.039,0.042,
10.1.2,C,4,0.212,0.18,0.04,0.039,0.04,0.039,
10.1.2,D,4,0.046,0.054,0.042,0.042,0.041,0.041,
10.1.2,E,4,0.048,0.051,0.04,0.043,0.039,0.043,
10.1.2,F,4,0.139,0.121,0.04,0.042,0.039,0.041,
10.1.2,G,4,0.136,0.118,0.039,0.041,0.039,0.04,
10.1.2,H,4,0.214,0.178,0.04,0.039,0.04,0.039,
10.1.2,A,5,0.169,0.141,0.041,0.041,0.04,0.04,
10.1.2,B,5,0.24,0.193,0.039,0.041,0.039,0.04,
10.1.2,C,5,0.201,0.165,0.041,0.039,0.042,0.04,
10.1.2,D,5,0.096,0.081,0.04,0.041,0.039,0.04,
10.1.2,E,5,0.047,0.049,0.04,0.043,0.039,0.042,
10.1.2,F,5,0.116,0.099,0.041,0.041,0.041,0.04,
10.1.2,G,5,0.156,0.142,0.039,0.043,0.039,0.042,
10.1.2,H,5,0.152,0.136,0.042,0.041,0.042,0.041,
10.1.2,A,6,0.04,0.039,0.039,0.039,0.039,0.039,
10.1.2,B,6,0.04,0.038,0.039,0.039,0.038,0.038,
10.1.2,C,6,0.235,0.216,0.041,0.04,0.041,0.039,
10.1.2,D,6,0.061,0.062,0.04,0.04,0.039,0.039,
10.1.2,E,6,0.194,0.16,0.04,0.04,0.04,0.039,
10.1.2,F,6,0.226,0.191,0.04,0.04,0.039,0.039,
10.1.2,G,6,0.181,0.16,0.041,0.042,0.04,0.041,
10.1.2,H,6,0.2,0.166,0.042,0.041,0.042,0.041,
10.1.2,A,7,0.057,0.045,0.04,0.041,0.04,0.04,
10.1.2,B,7,0.051,0.044,0.039,0.039,0.039,0.039,
10.1.2,C,7,0.047,0.042,0.04,0.039,0.039,0.039,
10.1.2,D,7,0.046,0.041,0.04,0.04,0.039,0.039,
10.1.2,E,7,0.043,0.041,0.04,0.04,0.04,0.039,
10.1.2,F,7,0.046,0.042,0.04,0.04,0.039,0.039,
10.1.2,G,7,0.056,0.05,0.046,0.046,0.045,0.044,
10.1.2,H,7,0.053,0.051,0.047,0.049,0.047,0.049,
10.1.2,A,8,0.05,0.046,0.04,0.04,0.04,0.04,
10.1.2,B,8,0.06,0.05,0.04,0.039,0.039,0.038,
10.1.2,C,8,0.075,0.069,0.039,0.039,0.039,0.039,
10.1.2,D,8,0.13,0.106,0.039,0.039,0.038,0.039,
10.1.2,E,8,0.089,0.082,0.042,0.043,0.04,0.041,
10.1.2,F,8,0.082,0.072,0.041,0.042,0.04,0.04,
10.1.2,G,8,0.052,0.047,0.041,0.042,0.041,0.041,
10.1.2,H,8,0.051,0.041,0.043,0.042,0.042,0.041,
10.1.2,A,9,0.055,0.047,0.041,0.041,0.041,0.041,
10.1.2,B,9,0.063,0.051,0.04,0.039,0.039,0.039,
10.1.2,C,9,0.172,0.142,0.04,0.04,0.04,0.039,
10.1.2,D,9,0.133,0.117,0.041,0.041,0.04,0.04,
10.1.2,E,9,0.053,0.051,0.04,0.044,0.04,0.043,
10.1.2,F,9,0.05,0.044,0.04,0.039,0.04,0.039,
10.1.2,G,9,0.054,0.049,0.04,0.042,0.039,0.042,
