plate,row,column ,genotype,BZT,microbe,Salt,BZT,0.FN,2.FN,4.FN,6.FN,8.FN,10.FN,unfixed.error,note
1.I,A,1,Cdv,0,-,S,,2,3,4,5,6,7,,
1.I,A,2,Tph,0,-,S,,2,3,4,7,8,9,,
1.I,A,3,RgP,0,-,S,,1,2,2,2,4,6,,
1.I,A,4,Trr,0,-,S,,2,1,1,2,2,2,,
1.I,A,5,Okb,0,+,S,,2,3,3,5,8,9,,was meant to be minus-but became plus due to error – swapped with row 2.A
1.I,A,6,Nnq,0,-,S,,1,1,0,1,1,1,,
1.I,B,1,Cdv,0,+,0,,3,5,5,7,9,10,,
1.I,B,2,Tph,0,+,0,,1,1,1,0,0,0,,
1.I,B,3,RgP,0,+,0,,2,2,2,2,3,2,,
1.I,B,4,Trr,0,+,0,,2,3,2,3,3,3,,
1.I,B,5,Okb,0,+,0,,3,3,5,7,7,7,,
1.I,B,6,Nnq,0,+,0,,1,2,2,2,1,1,,
1.I,C,1,Cdv,B,-,S,,1,2,2,4,4,4,,
1.I,C,2,Tph,B,-,S,,2,4,4,6,6,7,,
1.I,C,3,RgP,B,-,S,,1,1,1,1,1,0,,
1.I,C,4,Trr,B,-,S,,2,2,4,5,5,5,,
1.I,C,5,Okb,B,-,S,,2,3,3,4,4,6,,
1.I,C,6,Nnq,B,-,S,,2,3,3,3,1,2,,
1.I,D,1,Cdv,0,-,0,,2,2,2,4,4,5,,
1.I,D,2,Tph,0,-,0,,2,2,4,5,5,6,,
1.I,D,3,RgP,0,-,0,,3,3,3,3,2,2,,
1.I,D,4,Trr,0,-,0,,2,2,3,5,5,5,,
1.I,D,5,Okb,0,-,0,,2,3,4,5,8,12,,
1.I,D,6,Nnq,0,-,0,,2,2,3,2,2,2,,
1.II,A,1,Cdv,0,+,S,,2,2,3,5,6,8,,
1.II,A,2,Tph,0,+,S,,2,4,5,8,9,13,,
1.II,A,3,RgP,0,+,S,,2,2,2,1,1,0,,
1.II,A,4,Trr,0,+,S,,2,2,3,3,4,5,,
1.II,A,5,Okb,0,-,S,,2,2,3,3,5,7,,was meant to be plus-but became minus due to error – swapped with row 1.A
1.II,A,6,Nnq,0,+,S,,2,2,2,2,1,2,,
1.II,B,1,Cdv,B,-,0,,3,2,3,4,5,7,,
1.II,B,2,Tph,B,-,0,,2,2,4,5,7,11,,
1.II,B,3,RgP,B,-,0,,2,2,4,5,5,7,,
1.II,B,4,Trr,B,-,0,,2,3,3,5,6,8,,
1.II,B,5,Okb,B,-,0,,2,3,3,4,8,11,,
1.II,B,6,Nnq,B,-,0,,2,2,2,6,2,2,,
1.II,C,1,Cdv,B,+,S,,3,3,3,6,6,11,,
1.II,C,2,Tph,B,+,S,,3,3,5,6,5,10,,
1.II,C,3,RgP,B,+,S,,2,2,2,1,1,1,,
1.II,C,4,Trr,B,+,S,,2,2,3,4,5,6,,
1.II,C,5,Okb,B,+,S,,1,2,2,4,5,10,,
1.II,C,6,Nnq,B,+,S,,2,2,2,2,2,2,,
1.II,D,1,Cdv,B,+,0,,3,3,2,4,5,7,,
1.II,D,2,Tph,B,+,0,,2,3,3,5,5,5,,
1.II,D,3,RgP,B,+,0,,2,2,3,3,4,4,,
1.II,D,4,Trr,B,+,0,,2,2,2,4,5,5,,
1.II,D,5,Okb,B,+,0,,1,2,2,3,4,6,,
1.II,D,6,Nnq,B,+,0,,3,2,2,2,2,2,,
2.I,A,1,Ars,0,+,0,,2,2,4,4,4,6,,
2.I,A,2,RdM,0,+,0,,2,3,4,6,7,11,,
2.I,A,3,Kls,0,+,0,,1,2,4,5,6,8,,
2.I,A,4,Cst,0,+,0,,2,3,4,5,8,12,,
2.I,A,5,Arb,0,+,0,,2,1,1,1,1,1,,
2.I,A,6,RgP,0,+,0,,2,4,6,7,7,11,,
2.I,B,1,Ars,B,+,S,,2,2,4,4,4,7,,
2.I,B,2,RdM,B,+,S,,4,6,5,8,8,9,,
2.I,B,3,Kls,B,+,S,,2,2,4,5,4,6,,
2.I,B,4,Cst,B,+,S,,1,2,4,4,5,2,,
2.I,B,5,Arb,B,+,S,,2,2,2,3,3,2,,
2.I,B,6,RgP,B,+,S,,3,3,3,3,3,3,,
2.I,C,1,Ars,B,+,0,,2,2,4,5,4,5,,
2.I,C,2,RdM,B,+,0,,2,2,4,5,5,5,,
2.I,C,3,Kls,B,+,0,,2,2,2,4,2,2,,
2.I,C,4,Cst,B,+,0,,2,2,4,4,5,5,,
2.I,C,5,Arb,B,+,0,,2,2,2,3,2,3,,
2.I,C,6,RgP,B,+,0,,2,2,2,4,2,2,,
2.I,D,1,Ars,B,-,S,,2,2,2,2,2,4,,
2.I,D,2,RdM,B,-,S,,2,2,4,5,5,5,,
2.I,D,3,Kls,B,-,S,,2,3,4,6,6,6,,
