id,Plate,Plate Rep,Genotype,Salt,Microbes,Row,Column,lon,lat,conc_corrected,BZT_percent_d,X10.FN,od600,od750,BZTalanine,glycosylatedBZT,BZTacetylalanine,aniline,amino_3_phenol,phenazine,methylBZT,methoxyBZT,km,density
1.1.C5,1,1,Okb,0.8,No,C,5,79.439167,43.824444,0.1952170228,80.4782977201,6,0.0565,0.049,0,9.88E-012,0,4.06E-012,0,3.73E-012,1.14E-011,0,19.5870370722,9343.0020071955
1.1.C6,1,1,Nnq,0.8,No,C,6,78.9723,44.17564,0.0250552761,97.4944723878,2,0.0715,0.0615,0,0,0,7.92E-012,0,0,9.01E-012,0,66.8435025837,1100.9134211108
1.2.B5,1,2,Okb,0,No,B,5,79.439167,43.824444,0.035529839,96.4470160961,11,0.0475,0.042,0,0,1.16E-012,1.61E-011,0,0,0,3.08E-012,19.5870370722,9343.0020071955
1.2.B6,1,2,Nnq,0,No,B,6,78.9723,44.17564,0.0917634794,90.8236520623,2,0.0645,0.0705,0,0,0,1.35E-011,0,0,0,6.99E-013,66.8435025837,1100.9134211108
1.2.C5,1,2,Okb,0.8,Yes,C,5,79.439167,43.824444,0.138811288,86.1188711954,10,0.0605,0.0485,7.69E-012,1.43E-011,0,1.11E-011,0,2.15E-012,0,0,19.5870370722,9343.0020071955
1.2.C6,1,2,Nnq,0.8,Yes,C,6,78.9723,44.17564,0.0421886784,95.7811321598,2,0.097,0.094,0,0,0,1.22E-011,0,0,4.30E-012,0,66.8435025837,1100.9134211108
1.2.D5,1,2,Okb,0,Yes,D,5,79.439167,43.824444,0.2260086001,77.3991399879,6,0.051,0.0455,3.28E-011,1.37E-011,0,9.17E-012,1.21E-011,3.27E-012,0,6.42E-013,19.5870370722,9343.0020071955
1.2.D6,1,2,Nnq,0,Yes,D,6,78.9723,44.17564,0.0854578307,91.4542169349,2,0.1205,0.111,0,0,6.59E-013,6.78E-012,9.74E-012,0,7.44E-012,8.33E-013,66.8435025837,1100.9134211108
10.1.A2,10,1,Cnp,0,Yes,A,2,78.934218,43.938637,0.1207655532,87.9234446831,7,0.0905,0.091,0,8.67E-012,0,2.98E-012,0,0,7.90E-012,6.30E-013,48.074133906,6404.050772111
10.1.B2,10,1,Cnp,0,No,B,2,78.934218,43.938637,0.044039112,95.5960887987,5,0.163,0.135,5.75E-012,0,2.14E-012,5.02E-012,0,0,0,8.90E-013,48.074133906,6404.050772111
10.2.A2,10,2,Cnp,0.8,No,A,2,78.934218,43.938637,0.0608823685,93.9117631542,8,0.055,0.048,0,1.03E-011,0,3.87E-012,0,0,1.02E-011,0,48.074133906,6404.050772111
10.2.D2,10,2,Cnp,0.8,Yes,D,2,78.934218,43.938637,0.0770225836,92.2977416396,10,0.0515,0.044,9.17E-012,0,1.35E-012,1.37E-011,0,0,0,1.10E-012,48.074133906,6404.050772111
11.1.B2,11,1,Stn,0,No,B,2,78.702247,44.281094,0.0683731176,93.1626882404,6,0.13,0.1095,0,7.12E-012,0,5.40E-012,0,0,5.40E-012,1.16E-011,88.6683329528,868.8140311638
11.1.B5,11,1,Brk,0,No,B,5,78.978165,44.120014,0.1239044936,87.609550642,3,0.0425,0.0395,0,6.39E-012,0,9.09E-012,0,5.96E-012,4.28E-012,1.05E-012,61.2891573434,1777.9150539131
11.1.C2,11,1,Stn,0.8,No,C,2,78.702247,44.281094,0.0445497988,95.5450201166,3,0.042,0.043,0,6.16E-012,0,2.37E-012,0,1.13E-012,5.96E-012,1.72E-012,88.6683329528,868.8140311638
11.1.C5,11,1,Brk,0.8,No,C,5,78.978165,44.120014,0.1097011568,89.029884317,5,0.045,0.0435,0,3.74E-012,0,1.16E-011,1.28E-011,7.53E-012,5.99E-012,5.05E-013,61.2891573434,1777.9150539131
11.1.D2,11,1,Stn,0.8,Yes,D,2,78.702247,44.281094,0.0591917621,94.0808237884,1,0.1645,0.14,0,0,0,1.07E-011,0,1.16E-012,7.03E-012,3.26E-012,88.6683329528,868.8140311638
11.1.D5,11,1,Brk,0.8,Yes,D,5,78.978165,44.120014,0.1250349427,87.4965057279,0,0.0475,0.0465,0,7.52E-012,0,2.94E-011,0,7.25E-012,1.15E-011,2.85E-012,61.2891573434,1777.9150539131
11.2.A2,11,2,Stn,0,Yes,A,2,78.702247,44.281094,0.0770225836,92.2977416396,5,0.1265,0.102,8.13E-012,7.60E-012,1.14E-012,9.43E-012,0,0,0,0,88.6683329528,868.8140311638
