notes,Scorer,plate,row,column,ROI,,,,,,,,,,,,,,
,MG,1.1,A,1,13,24,,,,,,,,,,,,,
,MG,1.1,A,2,25,26,30,32,,,,,,,,,,,
,MG,1.1,A,3,23,,,,,,,,,,,,,,
,MG,1.1,A,4,20,,,,,,,,,,,,,,
,MG,1.1,A,5,22,,,,,,,,,,,,,,
,MG,1.1,A,6,38,,,,,,,,,,,,,,
,MG,1.1,B,1,52,66,,,,,,,,,,,,,
,MG,1.1,B,2,,,,,,,,,,,,,,,
,MG,1.1,B,3,45,167,,,,,,,,,,,,,
,MG,1.1,B,4,50,,,,,,,,,,,,,,
,MG,1.1,B,5,46,51,,,,,,,,,,,,,
,MG,1.1,B,6,61,,,,,,,,,,,,,,
,MG,1.1,C,1,82,89,,,,,,,,,,,,,
,MG,1.1,C,2,78,86,92,96,,,,,,,,,,,
,MG,1.1,C,3,73,,,,,,,,,,,,,,
,MG,1.1,C,4,91,,,,,,,,,,,,,,
,MG,1.1,C,5,79,94,,,,,,,,,,,,,
,MG,1.1,C,6,93,,,,,,,,,,,,,,
,MG,1.1,D,1,134,149,,,,,,,,,,,,,
,MG,1.1,D,2,136,122,,,,,,,,,,,,,
,MG,1.1,D,3,140,,,,,,,,,,,,,,
,MG,1.1,D,4,124,133,135,,,,,,,,,,,,
,MG,1.1,D,5,126,,,,,,,,,,,,,,
,MG,1.1,D,6,137,,,,,,,,,,,,,,
,MG,1.2,A,1,20,16,,,,,,,,,,,,,
,MG,1.2,A,2,24,,,,,,,,,,,,,,
,MG,1.2,A,3,36,,,,,,,,,,,,,,
,MG,1.2,A,4,22,,,,,,,,,,,,,,
,MG,1.2,A,5,21,,,,,,,,,,,,,,
,MG,1.2,A,6,180,,,,,,,,,,,,,,
,MG,1.2,B,1,59,65,,,,,,,,,,,,,
,MG,1.2,B,2,181,,,,,,,,,,,,,,
,MG,1.2,B,3,77,,,,,,,,,,,,,,
,MG,1.2,B,4,51,,,,,,,,,,,,,,
,MG,1.2,B,5,54,,,,,,,,,,,,,,
,MG,1.2,B,6,69,,,,,,,,,,,,,,
,MG,1.2,C,1,96,107,120,,,,,,,,,,,,
,MG,1.2,C,2,109,,,,,,,,,,,,,,
,MG,1.2,C,3,NA,,,,,,,,,,,,,,
,MG,1.2,C,4,103,101,,,,,,,,,,,,,
,MG,1.2,C,5,113,,,,,,,,,,,,,,
,MG,1.2,C,6,182,,,,,,,,,,,,,,
,MG,1.2,D,1,145,146,,,,,,,,,,,,,
,MG,1.2,D,2,183,,,,,,,,,,,,,,
,MG,1.2,D,3,142,,,,,,,,,,,,,,
,MG,1.2,D,4,184,185,,,,,,,,,,,,,
,MG,1.2,D,5,156,,,,,,,,,,,,,,
,MG,1.2,D,6,186,,,,,,,,,,,,,,
,MG,2.1,A,1,38,,,,,,,,,,,,,,
,MG,2.1,A,2,17,21,,,,,,,,,,,,,
,MG,2.1,A,3,19,,,,,,,,,,,,,,
,MG,2.1,A,4,22,,,,,,,,,,,,,,
,MG,2.1,A,5,159,,,,,,,,,,,,,,
,MG,2.1,A,6,7,,,,,,,,,,,,,,
,MG,2.1,B,1,60,,,,,,,,,,,,,,
,MG,2.1,B,2,55,160,161,,,,,,,,,,,,
,MG,2.1,B,3,51,54,,,,,,,,,,,,,
,MG,2.1,B,4,57,61,,,,,,,,,,,,,
,MG,2.1,B,5,56,,,,,,,,,,,,,,
,MG,2.1,B,6,58,,,,,,,,,,,,,,
,MG,2.1,C,1,78,,,,,,,,,,,,,,
,MG,2.1,C,2,76,81,,,,,,,,,,,,,
,MG,2.1,C,3,83,82,84,,,,,,,,,,,,
,MG,2.1,C,4,74,77,,,,,,,,,,,,,
,MG,2.1,C,5,80,,,,,,,,,,,,,,
,MG,2.1,C,6,75,,,,,,,,,,,,,,
,MG,2.1,D,1,114,,,,,,,,,,,,,,
,MG,2.1,D,2,95,,,,,,,,,,,,,,
,MG,2.1,D,3,98,113,135,,,,,,,,,,,,
,MG,2.1,D,4,93,,,,,,,,,,,,,,
,MG,2.1,D,5,101,,,,,,,,,,,,,,
,MG,2.1,D,6,102,,,,,,,,,,,,,,
,MG,2.2,A,1,27,,,,,,,,,,,,,,
,MG,2.2,A,2,31,133,,,,,,,,,,,,,
,MG,2.2,A,3,14,22,,,,,,,,,,,,,
,MG,2.2,A,4,17,,,,,,,,,,,,,,
,MG,2.2,A,5,134,,,,,,,,,,,,,,
,MG,2.2,A,6,10,19,,,,,,,,,,,,,
,MG,2.2,B,1,58,,,,,,,,,,,,,,
,MG,2.2,B,2,44,55,,,,,,,,,,,,,
,MG,2.2,B,3,49,,,,,,,,,,,,,,
,MG,2.2,B,4,45,,,,,,,,,,,,,,
,MG,2.2,B,5,57,,,,,,,,,,,,,,
,MG,2.2,B,6,51,54,,,,,,,,,,,,,
,MG,2.2,C,1,75,,,,,,,,,,,,,,
,MG,2.2,C,2,80,88,,,,,,,,,,,,,
,MG,2.2,C,3,79,82,,,,,,,,,,,,,
,MG,2.2,C,4,67,71,70,,,,,,,,,,,,
,MG,2.2,C,5,84,83,87,,,,,,,,,,,,
,MG,2.2,C,6,76,,,,,,,,,,,,,,
,MG,2.2,D,1,135,,,,,,,,,,,,,,
,MG,2.2,D,2,118,114,125,,,,,,,,,,,,
,MG,2.2,D,3,103,131,,,,,,,,,,,,,
,MG,2.2,D,4,121,110,122,,,,,,,,,,,,
,MG,2.2,D,5,115,,,,,,,,,,,,,,
,MG,2.2,D,6,112,,,,,,,,,,,,,,
,MG,3.1,A,1,22,,,,,,,,,,,,,,
,MG,3.1,A,2,14,,,,,,,,,,,,,,
,MG,3.1,A,3,24,21,,,,,,,,,,,,,
,MG,3.1,A,4,7,19,20,,,,,,,,,,,,
,MG,3.1,A,5,16,,,,,,,,,,,,,,
,MG,3.1,A,6,15,,,,,,,,,,,,,,
,MG,3.1,B,1,46,,,,,,,,,,,,,,
,MG,3.1,B,2,40,,,,,,,,,,,,,,
,MG,3.1,B,3,37,39,,,,,,,,,,,,,
,MG,3.1,B,4,45,49,48,,,,,,,,,,,,
,MG,3.1,B,5,41,43,44,50,,,,,,,,,,,
,MG,3.1,B,6,33,35,36,38,42,,,,,,,,,,
,MG,3.1,C,1,78,85,94,53,,,,,,,,,,,
,MG,3.1,C,2,67,,,,,,,,,,,,,,
,MG,3.1,C,3,76,82,81,,,,,,,,,,,,
,MG,3.1,C,4,75,80,,,,,,,,,,,,,
,MG,3.1,C,5,103,,,,,,,,,,,,,,
,MG,3.1,C,6,74,72,,,,,,,,,,,,,
,MG,3.1,D,1,155,156,,,,,,,,,,,,,
,MG,3.1,D,2,125,133,,,,,,,,,,,,,
,MG,3.1,D,3,124,,,,,,,,,,,,,,
,MG,3.1,D,4,120,134,,,,,,,,,,,,,
,MG,3.1,D,5,129,,,,,,,,,,,,,,
,MG,3.1,D,6,141,,,,,,,,,,,,,,
,MG,3.2,A,1,54,,,,,,,,,,,,,,
,MG,3.2,A,2,31,,,,,,,,,,,,,,
,MG,3.2,A,3,45,,,,,,,,,,,,,,
,MG,3.2,A,4,44,,,,,,,,,,,,,,
,MG,3.2,A,5,64,,,,,,,,,,,,,,
,MG,3.2,A,6,47,,,,,,,,,,,,,,
,MG,3.2,B,1,96,90,98,,,,,,,,,,,,
,MG,3.2,B,2,88,94,,,,,,,,,,,,,
,MG,3.2,B,3,91,93,,,,,,,,,,,,,
,MG,3.2,B,4,87,101,,,,,,,,,,,,,
,MG,3.2,B,5,99,,,,,,,,,,,,,,
,MG,3.2,B,6,89,,,,,,,,,,,,,,
,MG,3.2,C,1,118,,,,,,,,,,,,,,
,MG,3.2,C,2,109,108,,,,,,,,,,,,,
,MG,3.2,C,3,114,121,124,,,,,,,,,,,,
,MG,3.2,C,4,120,,,,,,,,,,,,,,
,MG,3.2,C,5,117,,,,,,,,,,,,,,
,MG,3.2,C,6,116,,,,,,,,,,,,,,
,MG,3.2,D,1,188,189,,,,,,,,,,,,,
,MG,3.2,D,2,158,149,,,,,,,,,,,,,
,MG,3.2,D,3,152,172,,,,,,,,,,,,,
,MG,3.2,D,4,159,164,,,,,,,,,,,,,
,MG,3.2,D,5,138,,,,,,,,,,,,,,
,MG,3.2,D,6,141,,,,,,,,,,,,,,
,MG,4.1,A,1,29,,,,,,,,,,,,,,
,MG,4.1,A,2,23,,,,,,,,,,,,,,
,MG,4.1,A,3,31,40,42,46,48,,,,,,,,,,
,MG,4.1,A,4,3,9,18,,,,,,,,,,,,
,MG,4.1,A,5,199,200,,,,,,,,,,,,,
,MG,4.1,A,6,32,19,201,,,,,,,,,,,,
,MG,4.1,B,1,60,,,,,,,,,,,,,,
,MG,4.1,B,2,69,,,,,,,,,,,,,,
,MG,4.1,B,3,74,,,,,,,,,,,,,,
,MG,4.1,B,4,64,,,,,,,,,,,,,,
,MG,4.1,B,5,72,85,,,,,,,,,,,,,
