notes,collector,plate,row,column,ROI,,,,,,,,,
,DL,1.1,D,6,16,,,,,,,,,
,DL,1.1,D,5,10,6,24,,,,,,,
,DL,1.1,D,4,17,21,,,,,,,,
,DL,1.1,D,3,9,,,,,,,,,
,DL,1.1,D,2,13,15,,,,,,,,
,DL,1.1,D,1,14,,,,,,,,,
,DL,1.1,C,6,34,,,,,,,,,
,DL,1.1,C,5,35,45,51,,,,,,,
,DL,1.1,C,4,37,38,44,,,,,,,
,DL,1.1,C,3,56,,,,,,,,,
,DL,1.1,C,2,53,40,41,49,,,,,,
,DL,1.1,C,1,47,55,,,,,,,,
,DL,1.1,B,6,NA,,,,,,,,,
,DL,1.1,B,5,62,79,71,74,,,,,,
,DL,1.1,B,4,68,72,,,,,,,,
,DL,1.1,B,3,81,,,,,,,,,
,DL,1.1,B,2,,,,,,,,,,
,DL,1.1,B,1,65,63,75,77,67,,,,,
,DL,1.1,A,6,NA,,,,,,,,,
,DL,1.1,A,5,94,111,,,,,,,,
,DL,1.1,A,4,120,,,,,,,,,
,DL,1.1,A,3,108,,,,,,,,,
,DL,1.1,A,2,89,92,102,109,,,,,,
,DL,1.1,A,1,105,110,,,,,,,,
,DL,1.2,D,6,34,,,,,,,,,
,DL,1.2,D,5,17,13,38,,,,,,,
,DL,1.2,D,4,14,18,7,,,,,,,
,DL,1.2,D,3,11,,,,,,,,,
,DL,1.2,D,2,27,,,,,,,,,
,DL,1.2,D,1,12,10,28,35,,,,,,
,DL,1.2,C,6,69,,,,,,,,,
,DL,1.2,C,5,66,75,71,,,,,,,
,DL,1.2,C,4,70,79,,,,,,,,
,DL,1.2,C,3,,,,,,,,,,
,DL,1.2,C,2,67,72,,,,,,,,
,DL,1.2,C,1,68,73,88,,,,,,,
,DL,1.2,B,6,NA,,,,,,,,,
,DL,1.2,B,5,104,,,,,,,,,
,DL,1.2,B,4,115,120,121,123,122,,,,,
,DL,1.2,B,3,107,95,,,,,,,,
,DL,1.2,B,2,102,109,113,119,,,,,,
,DL,1.2,B,1,106,116,112,,,,,,,
,DL,1.2,A,6,177,,,,,,,,,
,DL,1.2,A,5,150,164,162,,,,,,,
,DL,1.2,A,4,137,144,,,,,,,,
,DL,1.2,A,3,,,,,,,,,,
,DL,1.2,A,2,133,158,,,,,,,,
,DL,1.2,A,1,141,146,,,,,,,,
,DL,2.1,D,6,21,,,,,,,,,
,DL,2.1,D,5,18,,,,,,,,,
,DL,2.1,D,4,12,5,31,,,,,,,
,DL,2.1,D,3,6,11,14,,,,,,,
,DL,2.1,D,2,17,13,,,,,,,,
,DL,2.1,D,1,15,,,,,,,,,
,DL,2.1,C,6,43,,,,,,,,,
,DL,2.1,C,5,45,,,,,,,,,
,DL,2.1,C,4,47,41,,,,,,,,
,DL,2.1,C,3,52,56,,,,,,,,
,DL,2.1,C,2,42,49,53,,,,,,,
,DL,2.1,C,1,44,,,,,,,,,
,DL,2.1,B,6,178,,,,,,,,,
,DL,2.1,B,5,NA,,,,,,,,,
,DL,2.1,B,4,76,82,79,,,,,,,
,DL,2.1,B,3,64,74,80,69,,,,,,
,DL,2.1,B,2,68,,,,,,,,,
,DL,2.1,B,1,63,77,,,,,,,,
,DL,2.1,A,6,112,134,137,139,,,,,,
,DL,2.1,A,5,,,,,,,,,,
,DL,2.1,A,4,140,131,,,,,,,,
,DL,2.1,A,3,143,125,144,,,,,,,
,DL,2.1,A,2,122,146,,,,,,,,
,DL,2.1,A,1,126,,,,,,,,,
,DL,2.2,D,6,12,172,,,,,,,,
,DL,2.2,D,5,18,,,,,,,,,
,DL,2.2,D,4,19,25,26,,,,,,,
,DL,2.2,D,3,23,9,,,,,,,,
,DL,2.2,D,2,10,15,21,,,,,,,
,DL,2.2,D,1,173,174,,,,,,,,
,DL,2.2,C,6,60,64,,,,,,,,
,DL,2.2,C,5,45,50,,,,,,,,
,DL,2.2,C,4,63,,,,,,,,,
,DL,2.2,C,3,48,49,53,,,,,,,
,DL,2.2,C,2,42,44,59,,,,,,,
,DL,2.2,C,1,54,,,,,,,,,
,DL,2.2,B,6,78,87,,,,,,,,
,DL,2.2,B,5,,,,,,,,,,
,DL,2.2,B,4,92,86,,,,,,,,
,DL,2.2,B,3,88,93,,,,,,,,
,DL,2.2,B,2,89,175,176,177,,,,,,
,DL,2.2,B,1,84,,,,,,,,,
,DL,2.2,A,6,120,,,,,,,,,
,DL,2.2,A,5,NA,,,,,,,,,
,DL,2.2,A,4,141,,,,,,,,,
,DL,2.2,A,3,123,,,,,,,,,
,DL,2.2,A,2,139,147,161,178,,,,,,
,DL,2.2,A,1,179,,,,,,,,,
,DL,3.1,D,6,18,19,,,,,,,,
,DL,3.1,D,5,11,,,,,,,,,
,DL,3.1,D,4,2,3,15,17,20,22,,,,
,DL,3.1,D,3,23,24,14,12,,,,,,
,DL,3.1,D,2,4,,,,,,,,,
,DL,3.1,D,1,134,,,,,,,,,
,DL,3.1,C,6,31,32,40,37,,,,,,
,DL,3.1,C,5,28,,,,,,,,,
,DL,3.1,C,4,30,35,39,,,,,,,
,DL,3.1,C,3,33,34,42,,,,,,,
,DL,3.1,C,2,41,43,,,,,,,,
,DL,3.1,C,1,29,38,36,45,,,,,,
,DL,3.1,B,6,82,59,,,,,,,,
,DL,3.1,B,5,68,77,,,,,,,,
,DL,3.1,B,4,55,60,,,,,,,,
,DL,3.1,B,3,61,66,65,71,,,,,,
,DL,3.1,B,2,NA,,,,,,,,,
,DL,3.1,B,1,63,64,,,,,,,,
,DL,3.1,A,6,95,102,,,,,,,,
,DL,3.1,A,5,114,,,,,,,,,
,DL,3.1,A,4,103,113,,,,,,,,
,DL,3.1,A,3,101,106,108,116,,,,,,
,DL,3.1,A,2,NA,,,,,,,,,
,DL,3.1,A,1,104,107,,,,,,,,
,DL,3.2,D,6,14,25,,,,,,,,
,DL,3.2,D,5,23,,,,,,,,,
,DL,3.2,D,4,8,16,12,15,,,,,,
,DL,3.2,D,3,13,17,20,,,,,,,
,DL,3.2,D,2,18,21,22,,,,,,,
,DL,3.2,D,1,5,116,117,,,,,,,
,DL,3.2,C,6,30,32,36,37,,,,,,
,DL,3.2,C,5,34,40,43,,,,,,,
,DL,3.2,C,4,29,31,,,,,,,,
,DL,3.2,C,3,39,33,35,,,,,,,
,DL,3.2,C,2,NA,,,,,,,,,
,DL,3.2,C,1,38,44,46,,,,,,,
,DL,3.2,B,6,60,61,81,,,,,,,
,DL,3.2,B,5,62,,,,,,,,,
,DL,3.2,B,4,56,64,68,,,,,,,
,DL,3.2,B,3,54,65,59,,,,,,,
,DL,3.2,B,2,70,116,,,,,,,,
,DL,3.2,B,1,71,,,,,,,,,
,DL,3.2,A,6,88,92,96,,,,,,,
,DL,3.2,A,5,,,,,,,,,,
,DL,3.2,A,4,91,97,,,,,,,,
,DL,3.2,A,3,94,95,99,,,,,,,
,DL,3.2,A,2,NA,,,,,,,,,
,DL,3.2,A,1,93,98,,,,,,,,
,DL,4.1,D,6,136,137,138,,,,,,,
,DL,4.1,D,5,12,3,,,,,,,,
,DL,4.1,D,4,11,16,21,,,,,,,
,DL,4.1,D,3,17,25,,,,,,,,
,DL,4.1,D,2,15,20,,,,,,,,
,DL,4.1,D,1,8,18,,,,,,,,
,DL,4.1,C,6,38,,,,,,,,,
,DL,4.1,C,5,139,37,,,,,,,,
,DL,4.1,C,4,51,59,,,,,,,,
,DL,4.1,C,3,40,44,46,56,,,,,,
,DL,4.1,C,2,52,55,47,,,,,,,
,DL,4.1,C,1,39,41,45,49,53,,,,,
,DL,4.1,B,6,74,84,,,,,,,,
,DL,4.1,B,5,61,66,64,72,60,,,,,
,DL,4.1,B,4,63,65,73,67,70,,,,,
,DL,4.1,B,3,69,75,,,,,,,,
,DL,4.1,B,2,78,82,83,,,,,,,
,DL,4.1,B,1,71,77,80,,,,,,,
,DL,4.1,A,6,91,98,105,140,,,,,,
,DL,4.1,A,5,118,,,,,,,,,
,DL,4.1,A,4,88,109,114,,,,,,,
,DL,4.1,A,3,95,93,107,102,101,111,130,131,,
,DL,4.1,A,2,104,108,,,,,,,,
,DL,4.1,A,1,100,112,113,106,,,,,,
,DL,4.2,D,6,10,,,,,,,,,
,DL,4.2,D,5,16,15,,,,,,,,
,DL,4.2,D,4,14,25,,,,,,,,
,DL,4.2,D,3,4,8,13,30,,,,,,
,DL,4.2,D,2,156,,,,,,,,,
,DL,4.2,D,1,17,,,,,,,,,
,DL,4.2,C,6,157,,,,,,,,,
,DL,4.2,C,5,39,43,47,,,,,,,
,DL,4.2,C,4,49,50,66,,,,,,,
,DL,4.2,C,3,60,67,,,,,,,,
,DL,4.2,C,2,59,57,65,,,,,,,
,DL,4.2,C,1,45,53,46,,,,,,,
,DL,4.2,B,6,106,78,,,,,,,,
,DL,4.2,B,5,84,98,80,83,,,,,,
,DL,4.2,B,4,87,100,79,,,,,,,
,DL,4.2,B,3,85,86,93,,,,,,,
,DL,4.2,B,2,76,81,89,97,,,,,,
,DL,4.2,B,1,82,88,91,,,,,,,
,DL,4.2,A,6,NA,,,,,,,,,
,DL,4.2,A,5,127,123,132,,,,,,,
,DL,4.2,A,4,130,146,,,,,,,,
,DL,4.2,A,3,133,138,144,,,,,,,
,DL,4.2,A,2,117,137,158,,,,,,,
,DL,4.2,A,1,116,121,131,124,126,,,,,
,DL,5.1,D,6,7,,,,,,,,,
,DL,5.1,D,5,50,46,,,,,,,,
,DL,5.1,D,4,53,50,,,,,,,,
,DL,5.1,D,3,NA,,,,,,,,,
,DL,5.1,D,2,,,,,,,,,,
,DL,5.1,D,1,219,,,,,,,,,
,DL,5.1,C,6,77,85,,,,,,,,
,DL,5.1,C,5,71,102,103,99,,,,,,
,DL,5.1,C,4,83,93,,,,,,,,
,DL,5.1,C,3,84,92,,,,,,,,
,DL,5.1,C,2,96,,,,,,,,,
,DL,5.1,C,1,100,,,,,,,,,
,DL,5.1,B,6,141,147,,,,,,,,
,DL,5.1,B,5,152,,,,,,,,,
,DL,5.1,B,4,132,137,143,154,,,,,,
,DL,5.1,B,3,NA,,,,,,,,,
,DL,5.1,B,2,144,,,,,,,,,
,DL,5.1,B,1,148,139,,,,,,,,
,DL,5.1,A,6,185,,,,,,,,,
,DL,5.1,A,5,180,187,,,,,,,,
,DL,5.1,A,4,196,200,207,,,,,,,
,DL,5.1,A,3,192,,,,,,,,,
,DL,5.1,A,2,NA,,,,,,,,,
,DL,5.1,A,1,190,197,188,198,,,,,,
,DL,5.2,D,6,15,,,,,,,,,
,DL,5.2,D,5,25,,,,,,,,,
,DL,5.2,D,4,13,16,,,,,,,,
,DL,5.2,D,3,NA,,,,,,,,,
,DL,5.2,D,2,,,,,,,,,,
,DL,5.2,D,1,23,,,,,,,,,
,DL,5.2,C,6,59,,,,,,,,,
,DL,5.2,C,5,52,85,56,61,81,65,,,,
,DL,5.2,C,4,63,62,70,69,82,,,,,
,DL,5.2,C,3,177,,,,,,,,,
,DL,5.2,C,2,72,,,,,,,,,
,DL,5.2,C,1,80,73,71,74,,,,,,
,DL,5.2,B,6,100,,,,,,,,,
,DL,5.2,B,5,112,101,118,,,,,,,
,DL,5.2,B,4,105,121,,,,,,,,
,DL,5.2,B,3,179,,,,,,,,,
,DL,5.2,B,2,122,115,,,,,,,,
,DL,5.2,B,1,108,113,107,93,,,,,,
,DL,5.2,A,6,155,,,,,,,,,
,DL,5.2,A,5,140,152,149,146,172,135,,,,
,DL,5.2,A,4,148,153,160,158,,,,,,
,DL,5.2,A,3,179,180,,,,,,,,
,DL,5.2,A,2,,,,,,,,,,
,DL,5.2,A,1,161,181,,,,,,,,
,DL,6.1,D,6,18,,,,,,,,,
,DL,6.1,D,5,4,8,17,19,,,,,,
,DL,6.1,D,4,16,25,27,23,,,,,,
,DL,6.1,D,3,13,,,,,,,,,
,DL,6.1,D,2,14,21,24,29,,,,,,
,DL,6.1,D,1,15,28,,,,,,,,
,DL,6.1,C,6,32,43,,,,,,,,
,DL,6.1,C,5,37,34,,,,,,,,
,DL,6.1,C,4,46,,,,,,,,,
,DL,6.1,C,3,NA,,,,,,,,,
,DL,6.1,C,2,39,44,47,,,,,,,
,DL,6.1,C,1,41,42,48,48,45,,,,,
,DL,6.1,B,6,58,73,,,,,,,,
,DL,6.1,B,5,62,65,72,71,84,92,,,,
,DL,6.1,B,4,89,70,,,,,,,,
,DL,6.1,B,3,68,76,74,,,,,,,
,DL,6.1,B,2,55,63,60,,,,,,,
,DL,6.1,B,1,61,66,78,83,77,,,,,
,DL,6.1,A,6,124,134,,,,,,,,
,DL,6.1,A,5,116,103,,,,,,,,
,DL,6.1,A,4,129,119,,,,,,,,
,DL,6.1,A,3,120,127,,,,,,,,
,DL,6.1,A,2,106,110,117,122,125,,,,,
,DL,6.1,A,1,166,,,,,,,,,
,DL,6.2,D,6,6,11,15,18,,,,,,
,DL,6.2,D,5,7,9,20,25,31,,,,,
,DL,6.2,D,4,24,17,30,,,,,,,
,DL,6.2,D,3,16,19,,,,,,,,
,DL,6.2,D,2,8,12,23,21,28,29,,,,
,DL,6.2,D,1,14,22,13,,,,,,,
,DL,6.2,C,6,38,39,50,,,,,,,
,DL,6.2,C,5,42,43,36,,,,,,,
,DL,6.2,C,4,46,53,,,,,,,,
,DL,6.2,C,3,45,,,,,,,,,
,DL,6.2,C,2,35,40,44,49,51,56,57,55,,
,DL,6.2,C,1,41,37,48,47,54,,,,,
,DL,6.2,B,6,75,79,88,91,,,,,,
,DL,6.2,B,5,71,62,,,,,,,,
,DL,6.2,B,4,89,,,,,,,,,
,DL,6.2,B,3,85,70,,,,,,,,
,DL,6.2,B,2,63,87,96,100,,,,,,
,DL,6.2,B,1,99,163,165,164,,,,,,
,DL,6.2,A,6,125,139,134,142,118,,,,,
,DL,6.2,A,5,130,131,,,,,,,,
,DL,6.2,A,4,136,137,,,,,,,,
,DL,6.2,A,3,NA,,,,,,,,,
,DL,6.2,A,2,121,128,124,129,132,143,152,,,
,DL,6.2,A,1,167,,,,,,,,,
,DL,7.1,D,6,21,31,,,,,,,,
,DL,7.1,D,5,16,,,,,,,,,
,DL,7.1,D,4,7,5,19,,,,,,,
,DL,7.1,D,3,2,3,10,,,,,,,
,DL,7.1,D,2,20,17,26,22,32,,,,,
,DL,7.1,D,1,14,28,27,25,29,30,,,,
,DL,7.1,C,6,34,,,,,,,,,
,DL,7.1,C,5,37,47,,,,,,,,
,DL,7.1,C,4,40,,,,,,,,,
,DL,7.1,C,3,43,39,,,,,,,,
,DL,7.1,C,2,41,46,48,,,,,,,
,DL,7.1,C,1,44,45,49,51,52,,,,,
,DL,7.1,B,6,56,71,,,,,,,,
,DL,7.1,B,5,62,64,,,,,,,,
,DL,7.1,B,4,66,73,75,,,,,,,
,DL,7.1,B,3,65,77,76,86,,,,,,
,DL,7.1,B,2,59,63,67,68,80,82,,,,
,DL,7.1,B,1,57,61,69,70,74,79,,,,
,DL,7.1,A,6,145,,,,,,,,,
,DL,7.1,A,5,107,110,146,,,,,,,
