Site,X,lon,lat,bzs2,km.cityC,roaddens,road.densityism/km2,roadlength in m
Ajax Downs Park,AjxD,79.005556,43.868889,AjD,38.70841473,7.686621291,,
Ajax Water Supply,AjxW,79.006111,43.828056,AjW,36.03672143,3.672128713,,
Lake Aquitaine,Aq,79.753056,43.586111,Aqt,30.72736715,8.294477865,,
Arbourview Pond,Arb,79.7485,43.4353,Arb,38.17318336,7.263832742,,
Arsandco Pond,Ars,79.267222,43.748056,Ars,14.09325899,9.953018921,,
Bruce Hanscombe,BrH,79.0975,43.817222,Brc,29.35049022,5.131433563,,
Borden Range,BordR,79.9236,44.2233,Brd,76.83748637,1.157053315,,
Broken Bridge,BrBr,78.978165,44.120014,Brk,61.28915734,1.777915054,,
Bexhill,Bex,79.610639,43.523417,Bxh,23.34574933,4.815921463,,
Cedarvale Pond,Cdv,79.419444,43.689722,Cdv,5.004574214,14.67525773,,
Churchill Marsh,Church,80.02,43.772778,Chr,52.93947243,1.578235936,,
Colonel Danforth,ColD,79.175556,43.778333,ClD,21.75215929,6.930427193,,
Cambelleville,Cam,79.975472,43.493389,Cmb,50.97200322,1.443291318,,
Conlin Pond,Con,78.934218,43.938637,CnP,48.07413391,6.404050772,,
Canyon Hill,CanH,79.462778,43.889444,Cny,27.0653598,6.504946455,,
Costigan,Cost,79.8464,43.5259,Cst,39.94516453,5.452297686,,
D'Hillier Pond,Dhill,78.962222,43.878611,Dhl,42.13067392,7.22883659,,
East Point Park,EPP,79.153611,43.7625,EPP,22.12160792,4.265588937,,
Grenadier Pond,Gren,79.462222,43.639722,Grn,6.539825636,10.44880022,,
Humber Bay Park East,HumBPE,79.477222,43.620278,HBE,8.414886774,6.771215632,,
Kelso,Kelso,79.945209,43.505815,Kls,48.19966294,2.00012418,,
KSR Stinky Pond,KSR,79.517778,44.035,KSR,43.85366416,3.384612089,,
Legacy Pond,Leg,79.233889,43.861111,Lgy,26.07283543,7.61251328,,
Lion's Head,Lion,81.305495,44.900322,LnH,206.742414,0.980562927,,
Lithgoe Pond,Lyth,78.981667,43.828056,Lyt,37.7061453,2.999837898,,
McCraney Pond,McC,79.7426,43.4404,McC,37.44413278,7.695389522,,
Mackenzie Glen Upper Pond,MackG,79.530278,43.858889,Mck,25.77073653,6.430875975,,
Moccasin Trail,MocT,79.331944,43.733333,McT,9.828182374,9.952766047,,
Meadowvale,Mdv,79.7357,43.6211,Mdv,28.6229455,8.397538788,,
Mill Pond,MillP,79.8902,43.5133,Mll,43.74860101,5.825238272,,
Montezuma,Mntz,76.7704,42.98299,Mnt,224.3682753,1.575110635,,
Nonquan,Nq,78.9723,44.17564,Nnq,66.84350258,1.100913421,,
Oakbank Pond,Oak,79.439167,43.824444,Okb,19.58703707,9.343002007,,
Red Marsh,RedM,76.743675,44.769978,RdM,244.5447242,1.120517811,,
Rouge Park,RgPk,79.165833,43.822222,RgP,25.68398053,6.374592955,,
Rattray,Rat,79.604556,43.518056,Rtt,23.34317929,3.953310575,,
Scugog,Scg,78.931826,44.065163,Scg,58.44393561,1.53895668,,
Sugarbush Pond,Sug,79.464444,43.826944,Sgb,20.41502359,8.46766963,,
South Humber Park,SHum,79.478611,43.636944,SHB,7.895902985,9.571124413,,
Stouffvile Conservation Area (1),Stfv,79.250556,43.9775,Stf,37.64035967,2.757485645,,
Stoney Creek,StnyC,78.702247,44.281094,Stn,88.66833295,0.868814031,,
Swan Marsh,SwnM,79.254722,43.897778,Swn,29.11899848,7.453450487,,
Toogood Pond,Togo,79.312222,43.870833,Tgd,24.88977055,8.680505132,,
Topham Pond,Toph,79.495833,43.683611,Tph,9.680734638,11.93201459,,
Terracotta Conservation Area,Terra,79.958611,43.720833,Trr,46.92708835,1.278115244,,
UTM,UTM,79.6632107,43.5472422,UTM,25.46875223,9.445088815,,
West Duffins,WestD,79.201111,43.992222,WDf,40.47424425,2.222980766,,
Waldron Pond,Wald,79.048889,43.8875,Wld,37.44968761,5.671930457,,
Wellspring,Well,79.7236,43.4779,Wll,33.68507515,7.53825605,,
Walpole,Wlpl,82.464411,42.545407,Wlp,279.1369748,1.313030775,,
