collector,plate,row,column,ROI,,,,,,,,,,
SP,31.1,D,6,42,43,,,,,,,,,
SP,31.1,D,5,46,51,,,,,,,,,
SP,31.1,D,4,44,,,,,,,,,,
SP,31.1,D,3,45,47,,,,,,,,,
SP,31.1,D,2,48,50,,,,,,,,,
SP,31.1,D,1,49,52,54,,,,,,,,
SP,31.1,C,6,29,28,,,,,,,,,
SP,31.1,C,5,31,35,37,41,,,,,,,
SP,31.1,C,4,33,,,,,,,,,,
SP,31.1,C,3,30,38,,,,,,,,,
SP,31.1,C,2,34,39,,,,,,,,,
SP,31.1,C,1,36,40,,,,,,,,,
SP,31.1,B,6,15,18,,,,,,,,,
SP,31.1,B,5,16,24,,,,,,,,,
SP,31.1,B,4,20,,,,,,,,,,
SP,31.1,B,3,17,22,23,,,,,,,,
SP,31.1,B,2,26,19,,,,,,,,,
SP,31.1,B,1,27,,,,,,,,,,
SP,31.1,A,6,2,5,,,,,,,,,
SP,31.1,A,5,6,11,,,,,,,,,
SP,31.1,A,4,3,7,,,,,,,,,
SP,31.1,A,3,8,12,,,,,,,,,
SP,31.1,A,2,1,9,,,,,,,,,
SP,31.1,A,1,10,14,,,,,,,,,
SP,31.2,D,6,38,,,,,,,,,,
SP,31.2,D,5,39,41,,,,,,,,,
SP,31.2,D,4,37,,,,,,,,,,
SP,31.2,D,3,42,43,,,,,,,,,
SP,31.2,D,2,40,44,,,,,,,,,
SP,31.2,D,1,36,45,,,,,,,,,
SP,31.2,C,6,25,34,,,,,,,,,
SP,31.2,C,5,27,33,,,,,,,,,
SP,31.2,C,4,29,35,,,,,,,,,
SP,31.2,C,3,26,32,,,,,,,,,
SP,31.2,C,2,31,30,,,,,,,,,
SP,31.2,C,1,28,,,,,,,,,,
SP,31.2,B,6,13,15,,,,,,,,,
SP,31.2,B,5,20,24,,,,,,,,,
SP,31.2,B,4,14,,,,,,,,,,
SP,31.2,B,3,17,22,,,,,,,,,
SP,31.2,B,2,19,21,,,,,,,,,
SP,31.2,B,1,16,23,,,,,,,,,
SP,31.2,A,6,2,4,,,,,,,,,
SP,31.2,A,5,3,,,,,,,,,,
SP,31.2,A,4,1,6,9,,,,,,,,
SP,31.2,A,3,5,12,,,,,,,,,
SP,31.2,A,2,8,10,,,,,,,,,
SP,31.2,A,1,7,11,,,,,,,,,
SP,32.1,D,6,45,40,,,,,,,,,
SP,32.1,D,5,42,49,,,,,,,,,
SP,32.1,D,4,44,,,,,,,,,,
SP,32.1,D,3,46,52,,,,,,,,,
SP,32.1,D,2,50,,,,,,,,,,
SP,32.1,D,1,43,47,,,,,,,,,
SP,32.1,C,6,32,30,,,,,,,,,
SP,32.1,C,5,31,34,,,,,,,,,
SP,32.1,C,4,29,39,,,,,,,,,
SP,32.1,C,3,36,28,,,,,,,,,
SP,32.1,C,2,33,38,,,,,,,,,
SP,32.1,C,1,37,35,,,,,,,,,
SP,32.1,B,6,19,16,,,,,,,,,
SP,32.1,B,5,17,24,,,,,,,,,
SP,32.1,B,4,15,22,,,,,,,,,
SP,32.1,B,3,20,26,27,,,,,,,,
SP,32.1,B,2,18,23,,,,,,,,,
SP,32.1,B,1,14,21,,,,,,,,,
SP,32.1,A,6,2,10,,,,,,,,,
SP,32.1,A,5,5,6,,,,,,,,,
SP,32.1,A,4,4,12,,,,,,,,,
SP,32.1,A,3,3,13,,,,,,,,,
SP,32.1,A,2,7,11,,,,,,,,,
SP,32.1,A,1,9,8,,,,,,,,,
SP,32.2,D,6,42,45,,,,,,,,,
SP,32.2,D,5,43,48,,,,,,,,,
SP,32.2,D,4,41,,,,,,,,,,
SP,32.2,D,3,46,,,,,,,,,,
SP,32.2,D,2,47,50,,,,,,,,,
SP,32.2,D,1,44,49,51,,,,,,,,
SP,32.2,C,6,29,26,,,,,,,,,
SP,32.2,C,5,28,31,36,,,,,,,,
SP,32.2,C,4,37,27,,,,,,,,,
SP,32.2,C,3,38,35,,,,,,,,,
SP,32.2,C,2,30,32,,,,,,,,,
SP,32.2,C,1,33,34,39,,,,,,,,
SP,32.2,B,6,13,14,,,,,,,,,
SP,32.2,B,5,15,,,,,,,,,,
SP,32.2,B,4,23,22,,,,,,,,,
SP,32.2,B,3,19,20,,,,,,,,,
SP,32.2,B,2,18,24,,,,,,,,,
SP,32.2,B,1,21,25,,,,,,,,,
SP,32.2,A,6,2,,,,,,,,,,
SP,32.2,A,5,3,,,,,,,,,,
SP,32.2,A,4,7,8,,,,,,,,,
SP,32.2,A,3,4,9,,,,,,,,,
SP,32.2,A,2,5,10,1,,,,,,,,
SP,32.2,A,1,6,11,,,,,,,,,
SP,33.1,D,6,48,46,,,,,,,,,
SP,33.1,D,5,45,52,56,,,,,,,,
SP,33.1,D,4,47,51,,,,,,,,,
SP,33.1,D,3,50,55,,,,,,,,,
SP,33.1,D,2,44,53,,,,,,,,,
SP,33.1,D,1,57,54,49,,,,,,,,
SP,33.1,C,6,31,33,38,,,,,,,,
SP,33.1,C,5,35,41,,,,,,,,,
SP,33.1,C,4,30,37,,,,,,,,,
SP,33.1,C,3,36,39,43,42,,,,,,,
SP,33.1,C,2,32,40,,,,,,,,,
SP,33.1,C,1,34,,,,,,,,,,
SP,33.1,B,6,19,23,,,,,,,,,
SP,33.1,B,5,21,22,27,,,,,,,,
SP,33.1,B,4,18,,,,,,,,,,
SP,33.1,B,3,28,,,,,,,,,,
SP,33.1,B,2,20,26,,,,,,,,,
SP,33.1,B,1,25,24,17,,,,,,,,
SP,33.1,A,6,5,,,,,,,,,,
SP,33.1,A,5,3,4,10,,,,,,,,
SP,33.1,A,4,NA,,,,,,,,,,
SP,33.1,A,3,9,7,12,13,15,,,,,,
SP,33.1,A,2,6,11,,,,,,,,,
SP,33.1,A,1,8,14,16,,,,,,,,
SP,33.2,D,6,51,56,58,,,,,,,,
SP,33.2,D,5,54,50,57,,,,,,,,
SP,33.2,D,4,46,,,,,,,,,,
SP,33.2,D,3,48,,,,,,,,,,
SP,33.2,D,2,45,52,,,,,,,,,
SP,33.2,D,1,49,53,,,,,,,,,
SP,33.2,C,6,32,42,44,41,,,,,,,
SP,33.2,C,5,36,43,,,,,,,,,
SP,33.2,C,4,33,40,,,,,,,,,
SP,33.2,C,3,35,39,,,,,,,,,
SP,33.2,C,2,31,37,,,,,,,,,
SP,33.2,C,1,34,38,,,,,,,,,
SP,33.2,B,6,26,29,,,,,,,,,
SP,33.2,B,5,27,,,,,,,,,,
SP,33.2,B,4,25,21,,,,,,,,,
SP,33.2,B,3,23,28,,,,,,,,,
SP,33.2,B,2,20,30,,,,,,,,,
SP,33.2,B,1,22,24,,,,,,,,,
SP,33.2,A,6,4,6,,,,,,,,,
SP,33.2,A,5,8,12,18,,,,,,,,
SP,33.2,A,4,14,11,,,,,,,,,
SP,33.2,A,3,5,13,16,17,,,,,,,
SP,33.2,A,2,3,15,,,,,,,,,
SP,33.2,A,1,10,7,,,,,,,,,
SP,34.1,D,6,50,57,61,,,,,,,,
SP,34.1,D,5,48,55,,,,,,,,,
SP,34.1,D,4,49,59,,,,,,,,,
SP,34.1,D,3,47,58,,,,,,,,,
SP,34.1,D,2,53,51,56,,,,,,,,
SP,34.1,D,1,52,60,54,,,,,,,,
SP,34.1,C,6,34,40,,,,,,,,,
SP,34.1,C,5,32,33,,,,,,,,,
SP,34.1,C,4,35,41,45,,,,,,,,
SP,34.1,C,3,39,38,,,,,,,,,
SP,34.1,C,2,43,42,36,46,,,,,,,
SP,34.1,C,1,37,44,,,,,,,,,
SP,34.1,B,6,20,30,,,,,,,,,
SP,34.1,B,5,25,27,,,,,,,,,
SP,34.1,B,4,21,31,,,,,,,,,
SP,34.1,B,3,26,22,,,,,,,,,
SP,34.1,B,2,24,28,29,,,,,,,,
SP,34.1,B,1,23,,,,,,,,,,
SP,34.1,A,6,2,9,14,,,,,,,,
SP,34.1,A,5,4,11,,,,,,,,,
SP,34.1,A,4,7,17,,,,,,,,,
SP,34.1,A,3,10,3,,,,,,,,,
SP,34.1,A,2,6,12,,,,,,,,,
SP,34.1,A,1,5,8,13,15,16,19,,,,,
SP,34.2,D,6,52,59,,,,,,,,,
SP,34.2,D,5,55,,,,,,,,,,
SP,34.2,D,4,58,,,,,,,,,,
SP,34.2,D,3,54,,,,,,,,,,
SP,34.2,D,2,57,63,,,,,,,,,
SP,34.2,D,1,53,56,62,,,,,,,,
SP,34.2,C,6,39,41,40,46,,,,,,,
SP,34.2,C,5,36,50,,,,,,,,,
SP,34.2,C,4,37,48,,,,,,,,,
SP,34.2,C,3,49,43,,,,,,,,,
SP,34.2,C,2,45,38,47,,,,,,,,
SP,34.2,C,1,42,44,,,,,,,,,
SP,34.2,B,6,18,28,26,33,,,,,,,
SP,34.2,B,5,20,29,,,,,,,,,
SP,34.2,B,4,19,27,34,,,,,,,,
SP,34.2,B,3,22,30,,,,,,,,,
SP,34.2,B,2,21,23,31,,,,,,,,
